event_id,league,start_time_local,home_team,away_team,bookmaker,market,outcome,price_decimal,model_prob,market_prob_devig,edge_pct,ev,kelly_stake
como_juventus_20251019,soccer_italy_serie_a,2025-10-19 06:30,como,juventus,tipico_de,moneyline,home,3.20,0.3300,0.2949,11.91,0.0560,127.27
lorient_brest_20251019,soccer_france_ligue_one,2025-10-19 11:15,lorient,brest,tipico_de,moneyline,away,3.10,0.3400,0.3015,12.78,0.0540,128.57
lorient_brest_20251019,soccer_france_ligue_one,2025-10-19 11:15,lorient,brest,tipico_de,moneyline,away,3.10,0.3400,0.3015,12.78,0.0540,128.57
everton_crystal palace_20251005,soccer_epl,2025-10-05 09:00,everton,crystal palace,betfair_ex_eu,moneyline,away,3.10,0.3400,0.3202,6.17,0.0540,128.57
everton_crystal palace_20251005,soccer_epl,2025-10-05 09:00,everton,crystal palace,betfair_ex_eu,moneyline,away,3.10,0.3400,0.3202,6.17,0.0540,128.57
espanyol_real betis_20251005,soccer_spain_la_liga,2025-10-05 12:30,espanyol,real betis,betfair_ex_uk,match_winner,home,2.74,0.3843,0.3639,5.60,0.0531,152.50
nantes_lille_20251019,soccer_france_ligue_one,2025-10-19 14:45,nantes,lille,unibet_nl,match_winner,draw,3.75,0.2804,0.2562,9.44,0.0513,93.32
1 heidenheim_werder bremen_20251018,soccer_germany_bundesliga,2025-10-18 09:30,1 heidenheim,werder bremen,unibet_se,match_winner,draw,3.75,0.2804,0.2562,9.41,0.0513,93.32
borussia monchengladbach_sc freiburg_20251005,soccer_germany_bundesliga,2025-10-05 13:30,borussia monchengladbach,sc freiburg,unibet_nl,match_winner,draw,3.75,0.2804,0.2577,8.80,0.0513,93.32
crystal palace_bournemouth_20251018,soccer_epl,2025-10-18 10:00,crystal palace,bournemouth,unibet_nl,match_winner,draw,3.75,0.2804,0.2595,8.03,0.0513,93.32
wolverhampton wanderers_brighton and hove albion_20251005,soccer_epl,2025-10-05 09:00,wolverhampton wanderers,brighton and hove albion,smarkets,match_winner,draw,3.75,0.2804,0.2642,6.13,0.0513,93.32
alavés_elche cf_20251005,soccer_spain_la_liga,2025-10-05 08:00,alavés,elche cf,onexbet,moneyline,draw,3.17,0.3300,0.3107,6.20,0.0461,106.22
alavés_elche cf_20251005,soccer_spain_la_liga,2025-10-05 08:00,alavés,elche cf,onexbet,moneyline,draw,3.17,0.3300,0.3107,6.20,0.0461,106.22
borussia monchengladbach_sc freiburg_20251005,soccer_germany_bundesliga,2025-10-05 13:30,borussia monchengladbach,sc freiburg,betonlineag,moneyline,away,3.06,0.3400,0.3157,7.71,0.0404,98.06
borussia monchengladbach_sc freiburg_20251005,soccer_germany_bundesliga,2025-10-05 13:30,borussia monchengladbach,sc freiburg,betonlineag,moneyline,away,3.06,0.3400,0.3157,7.71,0.0404,98.06
lorient_brest_20251019,soccer_france_ligue_one,2025-10-19 11:15,lorient,brest,tipico_de,match_winner,away,3.10,0.3353,0.3015,11.23,0.0395,93.99
everton_crystal palace_20251005,soccer_epl,2025-10-05 09:00,everton,crystal palace,betfair_ex_eu,match_winner,away,3.10,0.3353,0.3202,4.71,0.0395,93.99
sc freiburg_eintracht frankfurt_20251019,soccer_germany_bundesliga,2025-10-19 09:30,sc freiburg,eintracht frankfurt,tipico_de,match_winner,home,2.70,0.3843,0.3507,9.59,0.0377,110.87
brighton and hove albion_newcastle_20251018,soccer_epl,2025-10-18 10:00,brighton and hove albion,newcastle,unibet_nl,match_winner,draw,3.70,0.2804,0.2631,6.57,0.0373,69.09
as monaco_spurs hotspur_20251022,soccer_uefa_champs_league,2025-10-22 15:00,as monaco,spurs hotspur,suprabets,match_winner,draw,3.70,0.2804,0.2649,5.83,0.0373,69.09
west ham_brentford_20251020,soccer_epl,2025-10-20 15:00,west ham,brentford,onexbet,match_winner,draw,3.67,0.2804,0.2683,4.49,0.0289,54.12
borussia monchengladbach_sc freiburg_20251005,soccer_germany_bundesliga,2025-10-05 13:30,borussia monchengladbach,sc freiburg,betonlineag,match_winner,away,3.06,0.3353,0.3157,6.23,0.0261,63.26
